BeamIntensity_mW,Slope_Mean,Slope_Std,N_Samples
0.2,8.593784696800841e-09,1.9833630385112716e-07,20
0.4,7.50604291450726e-07,9.620814287371612e-07,20
0.6,3.0102761661994135e-06,3.522302596429472e-06,20
0.8,3.680110523415816e-06,7.97507715146496e-06,20
1.0,-1.5481616740284243e-06,1.1024087217721153e-05,20
1.2,1.2577691432132125e-05,1.706672817840338e-05,20
1.4,2.368864092887313e-06,2.3173091354896758e-05,20
1.6,-2.892504730107657e-05,7.094565370147108e-06,20
1.8,-3.449960856647122e-05,8.86778166450259e-06,20
2.0,-3.9423156117402214e-05,1.0540724770695332e-05,20
2.2,-4.422388616344903e-05,1.2197371488506893e-05,20
2.4,-4.8959517946362195e-05,1.3819503276139353e-05,20
2.6,-5.27708577735215e-05,1.52613791999681e-05,20
